0.6666000000000001, 0.5191582641601562, [(12 17 30)-(6 60 8)-(12 26 10)-(3 0 28)-(1 34 1)-(13 27 6)-(7 30 14)-(1 20 26)]
0.7105, 0.5508484466552734, [(9 25 25)-(5 34 2)-(4 21 14)-(7 51 27)-(11 44 11)-(7 46 29)-(5 53 29)-(1 26 15)]
0.7103999999999999, 0.5508207061767578, [(0 0 13)-(3 33 6)-(15 6 17)-(5 0 3)-(10 41 10)-(9 25 25)-(14 12 15)-(4 34 7)]
0.7118, 0.5511942230224609, [(1 11 25)-(3 53 21)-(1 36 16)-(6 26 25)-(10 44 28)-(1 42 23)-(2 54 31)-(6 26 7)]
0.7129, 0.5491296142578125, [(13 0 19)-(2 56 17)-(14 60 17)-(15 14 8)-(9 5 28)-(2 20 17)-(14 39 10)-(10 36 2)]
0.7133, 0.5514682525634765, [(9 59 5)-(11 60 10)-(7 12 20)-(5 0 18)-(12 52 8)-(3 46 2)-(6 36 7)-(5 49 27)]
0.714, 0.5525317352294922, [(15 36 30)-(0 47 16)-(4 36 23)-(14 59 19)-(12 18 0)-(5 26 10)-(8 43 13)-(0 42 26)]
0.7122999999999999, 0.553486587524414, [(12 2 17)-(10 63 15)-(5 34 8)-(4 6 27)-(12 28 1)-(1 23 9)-(9 13 0)-(15 46 6)]
0.7115, 0.5479883544921875, [(0 9 29)-(7 14 1)-(9 25 29)-(8 22 1)-(14 58 11)-(2 57 15)-(7 52 5)-(13 13 12)]
0.7126, 0.5521951782226562, [(14 58 15)-(5 60 27)-(12 18 29)-(9 19 21)-(9 57 14)-(0 62 3)-(11 10 13)-(1 57 9)]
0.7118, 0.5501023315429687, [(10 18 26)-(14 23 9)-(4 56 18)-(9 36 2)-(1 2 17)-(2 50 21)-(6 61 28)-(7 63 24)]
0.7124, 0.5495607849121094, [(6 26 18)-(5 20 31)-(11 2 8)-(4 31 6)-(12 10 25)-(9 37 6)-(7 28 10)-(11 46 30)]
0.714, 0.5525317199707032, [(6 56 5)-(12 15 2)-(5 32 2)-(13 25 17)-(8 55 27)-(6 7 2)-(9 39 3)-(6 41 20)]
0.7142, 0.5502291900634766, [(3 11 4)-(2 21 6)-(15 52 24)-(13 17 24)-(5 14 11)-(6 53 11)-(6 14 23)-(11 37 16)]
0.714, 0.5525311737060546, [(5 53 13)-(3 30 22)-(12 55 15)-(0 26 14)-(1 2 9)-(6 62 21)-(6 34 16)-(3 4 1)]
0.714, 0.5525317352294923, [(14 5 16)-(5 37 7)-(10 6 5)-(3 25 2)-(9 21 8)-(13 5 9)-(3 41 28)-(15 17 12)]
0.714, 0.552531753540039, [(12 28 6)-(14 63 15)-(0 6 2)-(7 32 23)-(5 52 7)-(13 12 20)-(13 5 10)-(1 19 10)]
0.7138, 0.5524023254394531, [(6 35 17)-(4 42 17)-(10 47 17)-(7 54 14)-(15 23 3)-(11 20 0)-(3 12 26)-(6 1 7)]
0.7138, 0.5532113525390625, [(6 27 8)-(0 51 4)-(12 33 7)-(6 16 29)-(0 39 16)-(5 22 7)-(7 46 22)-(0 47 31)]
0.7134, 0.5526273590087891, [(1 42 20)-(10 39 14)-(6 21 16)-(13 29 7)-(10 21 5)-(5 10 28)-(9 62 26)-(11 53 26)]
0.7108000000000001, 0.5435206848144531, [(0 53 1)-(14 32 16)-(0 0 22)-(3 26 15)-(13 37 7)-(3 23 26)-(9 58 20)-(10 21 16)]
0.714, 0.5525318237304688, [(1 24 11)-(3 6 6)-(0 50 9)-(14 23 29)-(14 33 15)-(10 14 0)-(6 43 1)-(2 34 28)]
0.7118, 0.5515402526855469, [(6 14 22)-(9 12 14)-(11 23 31)-(2 38 16)-(10 26 12)-(15 43 25)-(12 15 8)-(10 16 5)]
0.7136, 0.551148306274414, [(9 30 18)-(9 8 23)-(15 31 24)-(14 4 22)-(15 63 16)-(12 55 0)-(5 16 26)-(9 7 22)]
0.7136, 0.5521669311523437, [(8 17 22)-(6 26 18)-(13 38 28)-(14 17 23)-(11 50 9)-(5 27 10)-(2 9 0)-(10 16 17)]
